"service_id","monday","tuesday","wednesday","thursday","friday","saturday","sunday","start_date","end_date"
1,0,0,0,0,0,0,1,20210916,20211211
2,0,0,0,0,0,1,0,20210916,20211211
3,1,1,1,1,1,0,0,20210916,20211211
4,1,1,1,1,1,1,0,20210916,20211211
5,1,1,1,1,1,1,1,20210916,20211211
6,0,0,0,0,0,1,1,20210916,20211211
7,1,1,1,1,1,0,1,20210916,20211211
8,0,0,0,0,0,0,0,20210916,20211211
9,0,0,0,0,0,0,0,20210916,20211211
10,0,0,0,0,0,0,0,20210916,20211211
11,0,0,0,0,0,0,0,20210916,20211211
12,0,0,0,0,0,0,1,20210916,20211211
13,0,0,0,0,0,1,1,20210916,20211211
14,0,0,0,0,1,1,0,20210916,20211211
15,1,1,1,1,1,1,1,20210916,20211211
16,0,0,0,0,0,0,0,20210916,20211211
17,0,0,0,0,0,0,0,20210916,20211211
18,1,1,1,1,1,0,0,20210916,20211211
19,0,0,0,0,0,1,0,20210916,20211211
20,1,1,1,1,1,0,0,20210916,20211211
21,1,1,1,1,1,0,0,20210916,20211211
22,0,0,0,0,1,1,0,20210916,20211211
23,0,0,0,0,0,0,0,20210916,20211211
24,0,1,0,1,0,0,0,20210916,20211211
25,1,0,1,0,1,0,0,20210916,20211211
26,0,0,0,0,0,1,1,20210916,20211211
27,1,1,1,1,1,0,0,20210916,20211211
28,0,0,0,0,0,0,1,20210916,20211211
29,0,0,0,0,0,0,0,20210916,20211211
30,0,0,0,0,0,0,0,20210916,20211211
31,0,0,0,0,0,0,0,20210916,20211211
32,0,0,0,0,0,0,0,20210916,20211211
33,0,0,0,0,0,0,0,20210916,20211211
34,0,0,0,0,0,0,0,20210916,20211211
35,0,0,0,0,0,1,0,20210916,20211211
36,0,0,0,0,0,1,1,20210916,20211211
37,1,1,1,1,1,0,0,20210916,20211211
38,1,1,1,1,1,1,1,20210916,20211211
39,0,0,0,0,0,0,0,20210916,20211211
40,0,0,0,0,1,0,0,20210916,20211211
41,0,0,0,0,0,0,0,20210916,20211211
42,1,1,1,1,0,0,1,20210916,20211211
43,0,0,0,0,0,0,0,20210916,20211211
44,1,1,1,1,1,0,0,20210916,20211211
45,0,0,0,0,0,0,0,20210916,20211211
46,0,0,0,0,0,1,0,20210916,20211211
47,0,0,0,0,0,0,0,20210916,20211211
48,0,0,0,0,0,1,1,20210916,20211211
49,0,0,0,0,0,0,0,20210916,20211211
50,0,0,0,0,0,1,1,20210916,20211211
51,1,1,1,1,1,1,1,20210916,20211211
52,1,1,1,1,1,1,1,20210916,20211211
53,0,0,0,0,0,1,1,20210916,20211211
54,0,0,0,0,1,1,0,20210916,20211211
55,0,0,0,0,0,0,0,20210916,20211211
56,0,0,0,0,0,0,0,20210916,20211211
57,0,0,0,0,1,0,0,20210916,20211211
58,1,1,1,1,1,1,1,20210916,20211211
59,0,0,0,0,0,1,1,20210916,20211211
60,1,1,1,1,1,1,0,20210916,20211211
61,0,0,0,0,0,0,0,20210916,20211211
62,0,0,0,0,0,0,0,20210916,20211211
63,1,1,1,1,1,1,1,20210916,20211211
64,0,0,0,0,0,1,1,20210916,20211211
65,0,0,0,0,0,0,0,20210916,20211211
66,1,1,1,1,0,0,0,20210916,20211211
67,0,0,0,0,0,1,1,20210916,20211211
68,0,0,0,0,0,1,0,20210916,20211211
69,1,1,1,1,1,1,0,20210916,20211211
